Bank_Website,Bank,Company,Offer,Expire Date,Logo,CleanName
https://www.americanexpress.com/en-us/account/login/,American Express,UGG,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7k28EAA,UGG
https://www.americanexpress.com/en-us/account/login/,American Express,Solo Stove,"Spend $250 or more, earn $50 back",04/30/2025,https://www.aexp-static.com/amexoffers/images/logos/00P3Z00001fSDkpUAG,SoloStove
https://www.americanexpress.com/en-us/account/login/,American Express,Sur La Table,"Spend $50 or more, earn $10 back",01/20/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7KMnEAM,SurLaTable
https://www.americanexpress.com/en-us/account/login/,American Express,Tnuck,"Earn 6% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzJEAQ,Tnuck
https://www.americanexpress.com/en-us/account/login/,American Express,Snakeriverfarms,"Earn 2% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oczEAA,Snakeriverfarms
https://www.americanexpress.com/en-us/account/login/,American Express,Contactsdirect,"Spend $100 or more, earn $20 back",01/31/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001OwzaXEAR,Contactsdirect
https://www.americanexpress.com/en-us/account/login/,American Express,Hollywood Feed,"Spend $60 or more, earn $20 back",04/02/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001SflIZEAZ,HollywoodFeed
https://www.americanexpress.com/en-us/account/login/,American Express,Fontainebleau Las Vegas,"Spend $1,000 or more, earn $200 back",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7XhwEAE,FontainebleauLasVegas
https://www.americanexpress.com/en-us/account/login/,American Express,Loccitane,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzTEAQ,Loccitane
https://www.americanexpress.com/en-us/account/login/,American Express,Verabradley,"Earn 6% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lD1EAI,Verabradley
https://www.americanexpress.com/en-us/account/login/,American Express,Lg,"Earn 4% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7obhEAA,Lg
https://www.americanexpress.com/en-us/account/login/,American Express,Milk Bar,"Spend $25 or more, earn $5 back, up to 2 times (total of $10).",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00000y8u4REAQ,MilkBar
https://www.americanexpress.com/en-us/account/login/,American Express,Nflshop,"Spend $100 or more, get $20 back, up to 2 times (total of $40).",02/16/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001CiXnVEAV,Nflshop
https://www.americanexpress.com/en-us/account/login/,American Express,Saucony,"Spend $120 or more, earn $20 back",02/28/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7RJdEAM,Saucony
https://www.americanexpress.com/en-us/account/login/,American Express,Kitchenaid,"Earn 4% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lDQEAY,Kitchenaid
https://www.americanexpress.com/en-us/account/login/,American Express,Philosophy,"Earn 8% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oc1EAA,Philosophy
https://www.americanexpress.com/en-us/account/login/,American Express,Rugsusa,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7l0HEAQ,Rugsusa
https://www.americanexpress.com/en-us/account/login/,American Express,Good American,"Spend $100 or more, earn $20 back",03/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7of5EAA,GoodAmerican
https://www.americanexpress.com/en-us/account/login/,American Express,Eberjey,"Earn 5% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lDVEAY,Eberjey
https://www.americanexpress.com/en-us/account/login/,American Express,Honeylove,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oevEAA,Honeylove
https://www.americanexpress.com/en-us/account/login/,American Express,Estéelauder,"Spend $75 or more, earn $15 back",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P3Z00001UiUhwUAF,Estéelauder
https://www.americanexpress.com/en-us/account/login/,American Express,Fragrancenet,"Spend $125 or more, earn $25 back, up to 2 times (total of $50).",02/21/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kE7EAI,Fragrancenet
https://www.americanexpress.com/en-us/account/login/,American Express,Discovery,"Spend $4.99 or more, get $4.99 back monthly, for up to 3 months",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7e8qEAA,Discovery
https://www.americanexpress.com/en-us/account/login/,American Express,Bobbibrowncosmetics,"Earn 8% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lE9EAI,Bobbibrowncosmetics
https://www.americanexpress.com/en-us/account/login/,American Express,Johnston Murphy,"Earn 6% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7k2IEAQ,JohnstonMurphy
